K,T,bounded_density,environment,gap,grid_opt,lemma_5_1_explicit_bound,paper_bound,projection_domain,projection_trials,projection_violations,reference_K,reference_opt,sigma_upper
5,131072,True,uniform,0.0,0.125,0.5,235.6700413903814,two-action distributions with expected profit exactly zero,512,0,1025,0.125,1.0
9,131072,True,uniform,0.0,0.125,0.25,117.8350206951907,two-action distributions with expected profit exactly zero,512,0,1025,0.125,1.0
17,131072,True,uniform,0.0,0.125,0.125,58.91751034759535,two-action distributions with expected profit exactly zero,512,0,1025,0.125,1.0
33,131072,True,uniform,0.0,0.125,0.0625,29.458755173797677,two-action distributions with expected profit exactly zero,512,0,1025,0.125,1.0
65,131072,True,uniform,0.0,0.125,0.03125,14.729377586898838,two-action distributions with expected profit exactly zero,512,0,1025,0.125,1.0
129,131072,True,uniform,0.0,0.125,0.015625,7.364688793449419,two-action distributions with expected profit exactly zero,512,0,1025,0.125,1.0
257,131072,True,uniform,0.0,0.125,0.0078125,3.6823443967247096,two-action distributions with expected profit exactly zero,512,0,1025,0.125,1.0
5,131072,True,separated_markets,0.0,0.1959023668639053,1.301775147928994,613.5788059867918,two-action distributions with expected profit exactly zero,512,0,1025,0.1959023668639053,2.603550295857988
9,131072,True,separated_markets,0.0,0.1959023668639053,0.650887573964497,306.7894029933959,two-action distributions with expected profit exactly zero,512,0,1025,0.1959023668639053,2.603550295857988
17,131072,True,separated_markets,0.0,0.1959023668639053,0.3254437869822485,153.39470149669796,two-action distributions with expected profit exactly zero,512,0,1025,0.1959023668639053,2.603550295857988
33,131072,True,separated_markets,0.0,0.1959023668639053,0.16272189349112426,76.69735074834898,two-action distributions with expected profit exactly zero,512,0,1025,0.1959023668639053,2.603550295857988
65,131072,True,separated_markets,0.0,0.1959023668639053,0.08136094674556213,38.34867537417449,two-action distributions with expected profit exactly zero,512,0,1025,0.1959023668639053,2.603550295857988
129,131072,True,separated_markets,0.0,0.1959023668639053,0.040680473372781065,19.174337687087245,two-action distributions with expected profit exactly zero,512,0,1025,0.1959023668639053,2.603550295857988
257,131072,True,separated_markets,0.0,0.1959023668639053,0.020340236686390532,9.587168843543623,two-action distributions with expected profit exactly zero,512,0,1025,0.1959023668639053,2.603550295857988
5,131072,True,correlated_four_rectangles,0.000450303819444442,0.21875,2.6984126984126986,1271.870064646503,two-action distributions with expected profit exactly zero,512,0,1025,0.21920030381944444,5.396825396825397
9,131072,True,correlated_four_rectangles,0.000450303819444442,0.21875,1.3492063492063493,635.9350323232514,two-action distributions with expected profit exactly zero,512,0,1025,0.21920030381944444,5.396825396825397
17,131072,True,correlated_four_rectangles,0.000450303819444442,0.21875,0.6746031746031746,317.9675161616257,two-action distributions with expected profit exactly zero,512,0,1025,0.21920030381944444,5.396825396825397
33,131072,True,correlated_four_rectangles,0.0,0.21920030381944444,0.3373015873015873,158.98375808081286,two-action distributions with expected profit exactly zero,512,0,1025,0.21920030381944444,5.396825396825397
65,131072,True,correlated_four_rectangles,0.0,0.21920030381944444,0.16865079365079366,79.49187904040643,two-action distributions with expected profit exactly zero,512,0,1025,0.21920030381944444,5.396825396825397
129,131072,True,correlated_four_rectangles,0.0,0.21920030381944444,0.08432539682539683,39.745939520203216,two-action distributions with expected profit exactly zero,512,0,1025,0.21920030381944444,5.396825396825397
257,131072,True,correlated_four_rectangles,0.0,0.21920030381944444,0.042162698412698416,19.872969760101608,two-action distributions with expected profit exactly zero,512,0,1025,0.21920030381944444,5.396825396825397
