K,T,cumulative_profit,delta,profit_shortfall,pseudo_regret,scale,seed,sweep
8,2048,-116.28571428571439,0.05,116.28571428571439,117.10364204637946,626.623188654289,0,T
8,2048,-114.99999999999974,0.05,114.99999999999974,119.53317676487674,626.623188654289,1,T
8,2048,-138.2857142857142,0.05,138.2857142857142,110.71901635142021,626.623188654289,2,T
8,2048,-124.00000000000014,0.05,124.00000000000014,124.2439681846441,626.623188654289,3,T
8,2048,-106.14285714285697,0.05,106.14285714285697,120.08983978233115,626.623188654289,4,T
8,2048,-107.57142857142837,0.05,107.57142857142837,134.98953881901,626.623188654289,5,T
8,2048,-120.2857142857144,0.05,120.2857142857144,97.77740394675774,626.623188654289,6,T
8,2048,-128.1428571428574,0.05,128.1428571428574,77.1873256469467,626.623188654289,7,T
8,2048,-135.42857142857127,0.05,135.42857142857127,92.08673640802573,626.623188654289,8,T
8,2048,-130.42857142857144,0.05,130.42857142857144,118.38598566159448,626.623188654289,9,T
8,2048,-109.57142857142857,0.05,109.57142857142857,126.60770252905674,626.623188654289,10,T
8,2048,-124.71428571428602,0.05,124.71428571428602,107.2060515267317,626.623188654289,11,T
8,8192,-941.1428571428575,0.05,941.1428571428575,328.2599106007784,1253.246377308578,0,T
8,8192,-936.4285714285702,0.05,936.4285714285702,359.4419982391606,1253.246377308578,1,T
8,8192,-943.2857142857147,0.05,943.2857142857147,324.53423979429306,1253.246377308578,2,T
8,8192,-952.9999999999994,0.05,952.9999999999994,302.70539510142044,1253.246377308578,3,T
8,8192,-949.7142857142862,0.05,949.7142857142862,324.76082023681397,1253.246377308578,4,T
8,8192,-946.7142857142837,0.05,946.7142857142837,384.58056387485544,1253.246377308578,5,T
8,8192,-944.142857142858,0.05,944.142857142858,346.39090810121843,1253.246377308578,6,T
8,8192,-953.4285714285708,0.05,953.4285714285708,383.0468375656361,1253.246377308578,7,T
8,8192,-954.2857142857122,0.05,954.2857142857122,335.90236128437857,1253.246377308578,8,T
8,8192,-944.7142857142859,0.05,944.7142857142859,341.31879351305736,1253.246377308578,9,T
8,8192,-963.0000000000013,0.05,963.0000000000013,338.1134029757459,1253.246377308578,10,T
8,8192,-955.4285714285702,0.05,955.4285714285702,330.98086691049605,1253.246377308578,11,T
8,32768,-4055.857142857146,0.05,4055.857142857146,1145.8716354063918,2506.492754617156,0,T
8,32768,-3984.5714285714503,0.05,3984.5714285714503,1160.701688547288,2506.492754617156,1,T
8,32768,-4043.0000000000186,0.05,4043.0000000000186,1045.1560531526907,2506.492754617156,2,T
8,32768,-4020.1428571428564,0.05,4020.1428571428564,1118.1650164857715,2506.492754617156,3,T
8,32768,-3995.571428571441,0.05,3995.571428571441,1069.8391945429325,2506.492754617156,4,T
8,32768,-4010.8571428571613,0.05,4010.8571428571613,1110.9865470270947,2506.492754617156,5,T
8,32768,-4022.4285714285693,0.05,4022.4285714285693,1057.4012033289478,2506.492754617156,6,T
